Course Code,Title,Section,Faculty Full Name,Day,Start Time,End Time,Start_Time_24hr,End_Time_24hr,Days_List,Cr.
MGT 2111,Principles of Management,A,Israt Jabin,W,09:51:AM,11:10:AM,951,1110,['W'],3.0
MGT 2111,Principles of Management,C,Israt Jabin,T,03:11:PM,04:30:PM,1511,1630,['T'],3.0
MAT 1205,Linear Algebra and Differential Equations,A,Mohammed Jawwadul Islam,W,08:30:AM,09:50:AM,830,950,['W'],3.0
MAT 1205,Linear Algebra and Differential Equations,B,Mohammed Jawwadul Islam,W,09:51:AM,11:10:AM,951,1110,['W'],3.0
MAT 1205,Linear Algebra and Differential Equations,C,Mohammed Jawwadul Islam,W,11:11:AM,12:30:PM,1111,1230,['W'],3.0
MAT 1205,Linear Algebra and Differential Equations,D,Mohammed Jawwadul Islam,W,12:31:PM,01:50:PM,1231,1350,['W'],3.0
MAT 1205,Linear Algebra and Differential Equations,E,Mohammed Jawwadul Islam,W,01:51:PM,03:10:PM,1351,1510,['W'],3.0
MAT 2105,Complex Variable, Statistics and Probability,A,Md. Benzir Ahmed,W,08:30:AM,09:50:AM,830,950,['W'],3.0
MAT 2105,Complex Variable, Statistics and Probability,B,Md. Benzir Ahmed,W,09:51:AM,11:10:AM,951,1110,['W'],3.0
MAT 2105,Complex Variable, Statistics and Probability,C,Md. Benzir Ahmed,W,11:11:AM,12:30:PM,1111,1230,['W'],3.0
MAT 2105,Complex Variable, Statistics and Probability,D,Md. Benzir Ahmed,W,12:31:PM,01:50:PM,1231,1350,['W'],3.0
MAT 2105,Complex Variable, Statistics and Probability,E,Md. Benzir Ahmed,W,01:51:PM,03:10:PM,1351,1510,['W'],3.0
PHY 1105,Physics I,A,Nahid Tamanna,W,08:30:AM,09:50:AM,830,950,['W'],3.0
PHY 1105,Physics I,B,Nahid Tamanna,W,09:51:AM,11:10:AM,951,1110,['W'],3.0
PHY 1105,Physics I,C,Nahid Tamanna,W,11:11:AM,12:30:PM,1111,1230,['W'],3.0
PHY 1105,Physics I,D,Nahid Tamanna,W,12:31:PM,01:50:PM,1231,1350,['W'],3.0
PHY 1105,Physics I,E,Nahid Tamanna,W,01:51:PM,03:10:PM,1351,1510,['W'],3.0
PHY 1105,Physics I,F,Nahid Tamanna,T,08:30:AM,09:50:AM,830,950,['T'],3.0
PHY 1105,Physics I,G,Nahid Tamanna,T,09:51:AM,11:10:AM,951,1110,['T'],3.0
PHY 1105,Physics I,H,Nahid Tamanna,T,11:11:AM,12:30:PM,1111,1230,['T'],3.0
PHY 1105,Physics I,I,Nahid Tamanna,T,12:31:PM,01:50:PM,1231,1350,['T'],3.0
PHY 1105,Physics I,J,Nahid Tamanna,T,01:51:PM,03:10:PM,1351,1510,['T'],3.0
